Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,No_of_Votes,Publish_Date,Publish_year
Strangers,-,Barbara Elsborg ,Romance,3.93,10016,535,16,2009-01-11,2009
Ten Things I Love About You ,Bevelstoke,Julia Quinn ,Romance,3.99,27802,1662,11,2010-05-25,2010
Mine Till Midnight ,The Hathaways,Lisa Kleypas ,Romance,4.07,74480,3919,45,2007-02-10,2007
Never Seduce a Scot ,The Montgomerys and Armstrongs,Maya Banks ,Romance,4.15,33935,3170,10,2012-09-25,2012
Forgive My Fins ,Fins,Tera Lynn Childs ,Romance,3.84,17332,1728,10,2010-05-19,2010
The Darkest Lie ,Lords of the Underworld,Gena Showalter ,Romance,4.29,35448,1195,24,2010-01-01,2010
Nick & Norah's Infinite Playlist,-,David Levithan ,Romance,3.69,84209,5247,15,2006-01-01,2006
The Host ,The Host,Stephenie Meyer,Romance,3.86,997485,43630,450,2008-06-05,2008
The Deal ,Off-Campus,Elle Kennedy ,Romance,4.24,663038,50489,91,2015-02-24,2015
City of Bones ,The Mortal Instruments,Cassandra Clare ,Romance,4.07,1975359,74732,434,2007-03-27,2007
Lady Luck ,Colorado Mountain,Kristen Ashley ,Romance,4.4,39271,2445,14,2011-10-22,2011
Hometown Girl Forever ,Hometown,Kirsten Fullmer ,Romance,4.32,1059,47,15,2016-11-08,2016
Unveiled ,Turner,Courtney Milan ,Romance,3.86,9382,1013,9,2011-01-25,2011
After the Fall ,Roman Time Travel,Morgan O'Neill ,Romance,4.13,267,28,8,2012-01-10,2012
A Week to be Wicked ,Spindle Cove,Tessa Dare ,Romance,4.1,34404,3381,49,2012-03-27,2012
Glitter Baby ,"Wynette, Texas",Susan Elizabeth Phillips ,Romance,3.74,12354,722,37,1987-01-01,1987
Ugly Love,-,Colleen Hoover ,Romance,4.07,1687605,120423,78,2014-05-08,2014
Obsidian ,Lux,Jennifer L. Armentrout ,Romance,4.14,279811,20584,406,2011-11-29,2011
Guilty Pleasures ,"Anita Blake, Vampire Hunter",Laurell K. Hamilton ,Romance,4.02,147005,6354,36,1993-01-10,1993
Christy,-,Catherine Marshall,Romance,4.24,54298,2191,8,1967-01-06,1967
My Life Next Door,-,Huntley Fitzpatrick,Romance,3.97,151537,10445,14,2012-06-14,2012
The Magic of You ,Malory-Anderson Family,Johanna Lindsey,Romance,4.17,15162,517,16,1993-01-06,1993
Dream Man,-,Linda Howard,Romance,4.04,19297,747,41,1994-01-01,1994
Frenchman's Creek,-,Daphne du Maurier,Romance,3.98,19589,1998,9,1941-01-09,1941
Love Unscripted ,Love,Tina Reber ,Romance,4.02,68024,3516,386,2010-06-03,2010
Lady Be Good ,"Wynette, Texas",Susan Elizabeth Phillips ,Romance,3.99,17778,747,98,1999-01-02,1999
Frederica,-,Georgette Heyer,Romance,4.19,22094,2117,33,1965-01-01,1965
Unbeautifully ,Undeniable,Madeline Sheehan ,Romance,4.34,31897,2447,9,2013-12-05,2013
Hometown Girl After All ,Hometown,Kirsten Fullmer ,Romance,4.33,1025,36,15,2014-01-01,2014
Stolen Soulmate ,Crowne Point,Mary Catherine Gebhard ,Romance,4.16,3230,707,19,2020-02-27,2020
Crescendo ,"Hush, Hush",Becca Fitzpatrick ,Romance,3.99,320057,12616,10,2010-10-19,2010
Rubinrot ,Edelstein-Trilogie,Kerstin Gier,Romance,4.13,151633,12209,12,2009-06-01,2009
On the Island ,On the Island,Tracey Garvis Graves ,Romance,4.11,83834,9850,370,2011-04-09,2011
This Man ,This Man,Jodi Ellen Malpas ,Romance,4.06,112781,7171,38,2012-10-20,2012
Just Listen,-,Sarah Dessen ,Romance,4.05,246306,8832,25,2006-06-04,2006
A Discovery of Witches ,All Souls,Deborah Harkness ,Romance,4.02,482566,44361,73,2011-08-02,2011
The Winter Rose ,The Tea Rose,Jennifer Donnelly ,Romance,4.33,23116,1643,10,2008-08-01,2008
Sweet Justice ,Last Chance Rescue,Christy Reece ,Romance,4.25,2508,106,7,2011-01-01,2011
New Moon ,The Twilight Saga,Stephenie Meyer,Romance,3.59,1888840,56874,13,2006-06-09,2006
Poison Study ,Study,Maria V. Snyder ,Romance,4.1,164263,13449,16,2005-09-27,2005
The Darkest Passion ,Lords of the Underworld,Gena Showalter ,Romance,4.34,41582,1390,37,2010-01-01,2010
Dream a Little Dream ,Chicago Stars,Susan Elizabeth Phillips ,Romance,4.16,34538,1557,95,1998-01-02,1998
If You Desire ,MacCarrick Brothers,Kresley Cole ,Romance,4.07,9577,381,8,2007-04-24,2007
Ella Enchanted ,Ella Enchanted,Gail Carson Levine ,Romance,4.01,410947,12072,12,1997-04-25,1997
Hopeless ,Hopeless,Colleen Hoover ,Romance,4.26,537558,38524,366,2012-12-18,2012
Son of the Morning,-,Linda Howard,Romance,3.98,7798,487,29,1997-01-01,1997
Jackson Rule,-,Dinah McCall,Romance,4.08,2103,141,10,1996-01-01,1996
Soulless ,Parasol Protectorate,Gail Carriger ,Romance,3.9,109917,11045,8,2009-04-09,2009
Memoirs of a Geisha,-,Arthur Golden,Romance,4.15,1978556,35431,359,1997-01-01,1997
Prince of Wolves ,The Grey Wolves,Quinn Loftis ,Romance,4.03,38809,2927,36,2011-06-29,2011
P.S. I Love You ,P.S. I Love You,Cecelia Ahern,Romance,4.03,378304,9707,82,2004-03-02,2004
Driven ,Driven,K. Bromberg ,Romance,4.25,61325,4521,19,2013-08-05,2013
The Unsung Hero ,Troubleshooters,Suzanne Brockmann ,Romance,4.05,14708,901,13,2000-06-06,2000
Half-Blood ,Covenant,Jennifer L. Armentrout ,Romance,4.1,101921,7686,26,2011-10-18,2011
The Secret Diaries of Miss Miranda Cheever ,Bevelstoke,Julia Quinn ,Romance,3.88,44510,2387,11,2007-01-06,2007
The Bridges of Madison County,-,Robert James Waller,Romance,3.68,95648,6010,87,1992-04-13,1992
Forever ,The Wolves of Mercy Falls,Maggie Stiefvater ,Romance,3.89,123092,8532,7,2011-12-07,2011
Tiger's Curse ,The Tiger Saga,Colleen Houck ,Romance,4.05,63582,6241,16,2011-11-01,2011
Rock Chick Reckoning ,Rock Chick,Kristen Ashley ,Romance,4.41,31044,1692,37,2011-11-13,2011
The Tenant of Wildfell Hall,-,Anne Brontë,Romance,4.01,113506,7337,10,1848-01-06,1848
Shiver ,The Wolves of Mercy Falls,Maggie Stiefvater ,Romance,3.76,477893,24768,326,2009-01-08,2009
Destiny Binds ,Timber Wolves Trilogy,Tammy Blackwell ,Romance,3.98,8908,613,10,2011-03-03,2011
Secrets of a Summer Night ,Wallflowers,Lisa Kleypas ,Romance,4.02,75430,5009,77,2004-10-26,2004
Visions of Heat ,Psy-Changeling,Nalini Singh ,Romance,4.08,39884,2390,26,2007-06-03,2007
Murder List ,Buchanan-Renard,Julie Garwood,Romance,4.06,17316,682,9,2004-08-31,2004
The Iron King ,The Iron Fey,Julie Kagawa ,Romance,3.88,211708,13288,15,2010-01-19,2010
"Red, White & Royal Blue",-,Casey McQuiston ,Romance,4.1,932614,109446,17,2019-05-14,2019
Rules of Attraction ,Perfect Chemistry,Simone Elkeles ,Romance,4.18,87676,4012,52,2010-04-13,2010
Point of Retreat ,Slammed,Colleen Hoover ,Romance,4.16,221465,12362,9,2012-02-25,2012
The Coincidence of Callie & Kayden ,The Coincidence,Jessica Sorensen ,Romance,4.16,115946,6600,77,2012-12-13,2012
Onyx ,Lux,Jennifer L. Armentrout ,Romance,4.24,179963,11627,10,2012-08-14,2012
Girl with a Pearl Earring,-,Tracy Chevalier ,Romance,3.92,729788,12282,12,1999-01-01,1999
No Rest for the Wicked ,Immortals After Dark,Kresley Cole ,Romance,4.27,58164,2131,22,2006-10-31,2006
Bed of Roses ,Bride Quartet,Nora Roberts ,Romance,4.12,63378,2556,38,2009-10-26,2009
The Nanny Song,-,Misty Mount ,Romance,4.24,807,39,20,2016-01-08,2016
On Dublin Street ,On Dublin Street,Samantha Young ,Romance,4.16,197085,10717,332,2012-08-31,2012
Allegiant ,Divergent,Veronica Roth ,Romance,3.6,1035458,70546,7,2013-10-22,2013
Just Like Heaven ,Smythe-Smith Quartet,Julia Quinn ,Romance,3.94,55366,3583,12,2011-05-31,2011
Looking for Alaska,-,John Green ,Romance,3.97,1565192,74127,25,2005-03-03,2005
Halfway to the Grave ,Night Huntress,Jeaniene Frost ,Romance,4.13,156800,8521,289,2007-01-11,2007
Sweet Dreams ,Colorado Mountain,Kristen Ashley ,Romance,4.37,48521,3279,37,2011-04-23,2011
The Golden Dynasty ,Fantasyland,Kristen Ashley ,Romance,4.35,31649,3021,16,2011-08-22,2011
El Diablo II ,El Diablo,M.  Robinson,Romance,4.2,2195,499,10,2020-06-09,2020
Red Queen ,Red Queen,Victoria Aveyard ,Romance,4.01,975758,66385,10,2015-10-02,2015
Corelli's Mandolin,-,Louis de Bernières,Romance,4.01,86224,3402,36,1994-01-01,1994
Water for Elephants,-,Sara Gruen ,Romance,4.11,1596625,62062,279,2006-05-22,2006
Somebody to Love ,Gideon's Cove,Kristan Higgins ,Romance,4.04,12799,943,10,2012-04-24,2012
Inner Harbor ,Chesapeake Bay Saga,Nora Roberts ,Romance,4.18,34346,814,16,1998-01-12,1998
The Kiss Quotient ,The Kiss Quotient,Helen Hoang ,Romance,3.91,422809,46060,16,2018-05-06,2018
Beautiful Creatures ,Caster Chronicles,Kami Garcia ,Romance,3.77,595145,22948,36,2009-01-12,2009
The Secret ,Highlands' Lairds,Julie Garwood,Romance,4.25,52427,2416,74,1992-01-01,1992
Not Another Bad Date ,Writer Friends,Rachel Gibson ,Romance,3.88,11238,447,13,2008-05-27,2008
Pleasure of a Dark Prince ,Immortals After Dark,Kresley Cole ,Romance,4.38,44478,1536,21,2010-01-25,2010
A Seacat's Love,-,Jessica A.  Kong ,Romance,4.47,55,14,10,2014-01-05,2014
The Truth About Forever,-,Sarah Dessen ,Romance,4.12,222186,8933,275,2004-11-05,2004
Simple Jess ,Tales from Marrying Stone,Pamela Morsi ,Romance,4.1,3779,379,15,1996-01-04,1996
Black Lies,-,Alessandra Torre ,Romance,4.26,31199,4765,9,2014-08-14,2014
Lover Enshrined ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.11,116710,4758,29,2008-03-06,2008
At Peace ,The 'Burg,Kristen Ashley ,Romance,4.46,29627,2167,16,2011-02-05,2011
Lord of Scoundrels ,Scoundrels,Loretta Chase,Romance,4.09,36371,3377,77,1995-01-01,1995
The Night Circus,-,Erin Morgenstern ,Romance,4.02,951859,101043,36,2011-09-13,2011
Fallen in Love ,Fallen,Lauren Kate ,Romance,3.75,45487,2006,12,2012-01-24,2012
The Air He Breathes ,Elements,Brittainy C. Cherry ,Romance,4.15,63244,7391,13,2015-09-25,2015
The Bronze Horseman ,The Bronze Horseman,Paullina Simons,Romance,4.3,85159,9053,266,2000-07-17,2000
The Unidentified Redhead ,Redhead,Alice Clayton ,Romance,4.02,29513,2378,8,2010-01-01,2010
The Blue Castle,-,L.M. Montgomery,Romance,4.3,42621,6451,30,1926-01-01,1926
Down London Road ,On Dublin Street,Samantha Young ,Romance,4.2,53732,3444,12,2013-07-05,2013
The Law of Attraction ,Lawyers in Love,N.M. Silber ,Romance,3.76,11515,924,31,2013-07-22,2013
Lover Mine ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.39,112469,4557,71,2010-04-27,2010
Edenbrooke ,Edenbrooke,Julianne Donaldson ,Romance,4.32,52840,10106,16,2012-03-27,2012
Rush ,Breathless,Maya Banks ,Romance,3.88,80571,4825,25,2013-05-02,2013
Midnight Awakening ,Midnight Breed,Lara Adrian ,Romance,4.23,42507,1192,17,2007-11-27,2007
Kiss an Angel,-,Susan Elizabeth Phillips ,Romance,4.18,63467,5228,274,1996-01-02,1996
Truly Madly Yours ,"Truly, Idaho",Rachel Gibson ,Romance,3.93,13829,520,10,1999-01-01,1999
True Betrayals,-,Nora Roberts ,Romance,4.05,14323,429,24,1995-06-13,1995
Ten Ways to Be Adored When Landing a Lord ,Love By Numbers,Sarah MacLean ,Romance,3.88,26987,2053,18,2010-10-26,2010
Island of the Swans,-,Ciji Ware ,Romance,3.78,2185,180,9,1989-01-01,1989
Bear Necessities ,Halle Shifters,Dana Marie Bell ,Romance,3.95,8888,366,9,2010-07-17,2010
The Lucky One,-,Nicholas Sparks ,Romance,4.12,358924,10858,41,2007-01-01,2007
Jewels of the Sun ,Gallaghers of Ardmore,Nora Roberts ,Romance,4.22,65082,1579,73,1999-01-11,1999
It Had to Be You ,Chicago Stars,Susan Elizabeth Phillips ,Romance,4.01,66449,2856,273,1994-01-01,1994
The Rose Garden,-,Susanna Kearsley ,Romance,4.03,32210,3345,13,2011-04-15,2011
Unleashed ,Ross Siblings,Cherrie Lynn ,Romance,3.87,31261,1172,69,2009-04-21,2009
Untamed ,MacKinnon's Rangers,Pamela Clare ,Romance,4.24,3981,356,14,2008-11-25,2008
So Over You,-,Gwen Hayes,Romance,3.84,7709,306,9,2010-04-25,2010
Sweet Reward ,Last Chance Rescue,Christy Reece ,Romance,4.31,1899,83,7,2011-12-27,2011
Tempt Me at Twilight ,The Hathaways,Lisa Kleypas ,Romance,4.16,45622,2792,40,2009-01-10,2009
Rising Tides ,Chesapeake Bay Saga,Nora Roberts ,Romance,4.17,34053,848,26,1998-01-08,1998
Dark Desires After Dusk ,Immortals After Dark,Kresley Cole ,Romance,4.34,48017,1672,14,2008-05-20,2008
Falling Under ,Falling Under,Gwen Hayes,Romance,3.78,16548,1321,10,2011-01-03,2011
Reason to Breathe ,Breathing,Rebecca    Donovan ,Romance,4.21,92550,6308,263,2011-10-05,2011
It Ends with Us ,It Ends with Us,Colleen Hoover ,Romance,4.19,3096375,237063,23,2016-02-08,2016
Smooth Talking Stranger ,Travises,Lisa Kleypas ,Romance,4.14,40797,2148,78,2009-01-01,2009
Shadows ,Lux,Jennifer L. Armentrout ,Romance,4.1,41867,3312,17,2012-02-20,2012
Marked ,House of Night,P.C. Cast ,Romance,3.81,489805,16104,9,2007-01-05,2007
Carolina Moon,-,Nora Roberts ,Romance,4.08,45031,1097,35,2000-06-03,2000
An Abundance of Katherines,-,John Green ,Romance,3.52,524942,27489,9,2006-09-21,2006
The Edge of Never ,The Edge of Never,J.A. Redmerski ,Romance,4.22,148144,11450,252,2012-11-13,2012
What I Did for a Duke ,Pennyroyal Green,Julie Anne Long ,Romance,4.16,14610,1389,30,2011-02-22,2011
Dancing on Coals,-,Ellen O'Connell ,Romance,4.15,4921,503,25,2011-10-18,2011
The Marriage Bargain ,Marriage to a Billionaire,Jennifer Probst ,Romance,3.79,110687,4615,73,2010-08-17,2010
A Bend in the Road,-,Nicholas Sparks ,Romance,4.04,155724,4646,35,2001-09-18,2001
Heir of Fire ,Throne of Glass,Sarah J. Maas ,Romance,4.47,739091,54241,7,2014-02-09,2014
Emma,-,Jane Austen,Romance,4.05,866355,31344,240,1815-12-23,1815
Sea Swept ,Chesapeake Bay Saga,Nora Roberts ,Romance,4.23,61076,1516,48,1998-01-01,1998
Clockwork Prince ,The Infernal Devices,Cassandra Clare ,Romance,4.43,545683,30724,9,2011-06-12,2011
Just One Drop ,The Grey Wolves,Quinn Loftis ,Romance,4.46,18613,817,15,2012-04-02,2012
It's Not Summer Without You ,Summer,Jenny Han ,Romance,3.8,486424,33622,7,2010-04-27,2010
Bully ,Fall Away,Penelope Douglas ,Romance,3.89,190097,13887,24,2013-06-17,2013
Stepbrother Dearest,-,Penelope Ward ,Romance,4.04,69499,6520,14,2014-09-23,2014
Kissed by an Angel/The Power of Love/Soulmates ,Kissed by an Angel,Elizabeth Chandler,Romance,4.08,26664,1779,62,1995-01-01,1995
Out of the Dark ,The Grey Wolves,Quinn Loftis ,Romance,4.48,16080,665,9,2012-03-06,2012
Vicious ,Sinners of Saint,L.J. Shen ,Romance,3.97,131222,11600,18,2016-12-27,2016
Flat-Out Love ,Flat-Out Love,Jessica Park ,Romance,4.0,59294,5487,229,2011-11-04,2011
Saving Grace,-,Julie Garwood,Romance,4.26,28292,1132,40,1993-01-10,1993
These Broken Stars ,Starbound,Amie Kaufman ,Romance,3.89,69525,8947,8,2013-10-12,2013
On the Way to the Wedding ,Bridgertons,Julia Quinn ,Romance,3.84,123475,7960,25,2006-06-27,2006
Dead Until Dark ,Sookie Stackhouse,Charlaine Harris ,Romance,3.97,536262,20001,36,2001-01-05,2001
Love in the Time of Cholera,-,Gabriel García Márquez,Romance,3.93,497094,26753,10,1985-01-11,1985
Let it Snow,-,John Green ,Romance,3.68,148151,13088,11,2008-02-10,2008
The Guardian,-,Nicholas Sparks ,Romance,4.16,180672,5958,18,2003-01-01,2003
Flowers from the Storm,-,Laura Kinsale ,Romance,4.08,15922,1814,66,1992-01-01,1992
Leaving Paradise ,Leaving Paradise,Simone Elkeles ,Romance,4.0,43059,2504,223,2007-01-04,2007
Welcome to Temptation ,Dempseys,Jennifer Crusie ,Romance,3.94,33391,1280,38,2000-01-03,2000
Vicious Circles ,Wrong Reasons,J.L. Paul ,Romance,4.02,2977,88,12,2011-07-09,2011
Beautifully Damaged ,Beautifully Damaged,L.A. Fiore ,Romance,3.98,29978,1881,15,2012-08-28,2012
This Lullaby,-,Sarah Dessen ,Romance,4.02,178286,5434,224,2002-05-27,2002
Mirage,-,Nilakshi Garg ,Romance,4.45,130,76,6,2020-01-15,2020
Lover Avenged ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.36,114923,4329,85,2009-04-28,2009
When He Was Wicked ,Bridgertons,Julia Quinn ,Romance,4.0,168295,11138,24,2004-06-29,2004
Temptation ,Temptation,K.M. Golland ,Romance,4.15,5451,551,8,2012-12-12,2012
Christmas in Smithville ,Hometown,Kirsten Fullmer ,Romance,4.31,988,61,14,2017-01-12,2017
Clockwork Angel ,The Infernal Devices,Cassandra Clare ,Romance,4.31,821141,41514,219,2010-08-31,2010
Mockingjay ,The Hunger Games,Suzanne Collins,Romance,4.08,3139951,126082,12,2010-08-24,2010
Dark Prince ,Dark,Christine Feehan ,Romance,4.0,57325,2980,34,1999-08-03,1999
Rescue Me ,Last Chance Rescue,Christy Reece ,Romance,3.96,5197,288,9,2009-01-01,2009
Hometown Girl at Heart ,Hometown,Kirsten Fullmer ,Romance,4.3,4130,59,14,2014-07-15,2014
A Kingdom of Dreams ,Westmoreland,Judith McNaught,Romance,4.21,53172,2806,213,1989-01-03,1989
"Whitney, My Love ",Westmoreland,Judith McNaught,Romance,4.12,36308,2605,37,1985-01-01,1985
The Masqueraders,-,Georgette Heyer,Romance,4.07,8607,845,8,1928-01-01,1928
Poughkeepsie ,Poughkeepsie Brotherhood,Debra Anastasia ,Romance,3.91,12491,1634,12,2011-11-20,2011
The Mighty Storm ,The Storm,Samantha Towle ,Romance,4.15,73277,3866,66,2012-07-09,2012
Not Quite a Husband ,The Marsdens,Sherry Thomas ,Romance,3.82,9687,1000,16,2009-05-19,2009
Katherine,-,Anya Seton,Romance,4.2,33297,2275,21,1954-01-01,1954
The Song of Achilles,-,Madeline Miller ,Romance,4.33,1398474,150095,8,2011-09-20,2011
Remembrance,-,Jude Deveraux,Romance,4.01,7895,397,8,1994-01-01,1994
Crash ,Crash,Nicole  Williams ,Romance,3.97,60891,3333,36,2012-07-18,2012
A Rogue by Any Other Name ,The Rules of Scoundrels,Sarah MacLean ,Romance,3.92,43118,3519,14,2012-02-28,2012
Matched ,Matched,Ally Condie ,Romance,3.63,770230,35668,208,2010-11-30,2010
Castles ,Crown's Spies,Julie Garwood,Romance,4.14,16705,568,10,1993-01-01,1993
The Marriage Trap ,Marriage to a Billionaire,Jennifer Probst ,Romance,3.88,29968,1451,22,2012-02-10,2012
The Mane Attraction ,Pride,Shelly Laurenston,Romance,4.27,14106,597,16,2008-01-11,2008
The Wall of Winnipeg and Me,-,Mariana Zapata ,Romance,4.22,239464,25865,44,2016-02-28,2016
Ashes of Midnight ,Midnight Breed,Lara Adrian ,Romance,4.16,25350,857,10,2009-05-26,2009
Romancing Mister Bridgerton ,Bridgertons,Julia Quinn ,Romance,3.92,262848,19469,66,2002-01-07,2002
The Vincent Boys ,The Vincent Boys,Abbi Glines ,Romance,3.95,74305,3957,206,2011-12-10,2011
Birthright,-,Nora Roberts ,Romance,4.06,28514,1070,19,2003-03-31,2003
Trying to Score ,Assassins,Toni Aleo ,Romance,4.03,13740,885,11,2012-10-04,2012
The Mistake ,Off-Campus,Elle Kennedy ,Romance,4.02,351946,25750,11,2015-01-01,2015
Flat-Out Sexy ,Fast Track,Erin McCarthy ,Romance,3.94,13070,778,33,2008-10-30,2008
Seduce Me at Sunrise ,The Hathaways,Lisa Kleypas ,Romance,4.06,43185,2703,67,2008-09-30,2008
Lead ,Stage Dive,Kylie Scott ,Romance,4.26,49087,4167,14,2014-07-29,2014
Beautiful Player ,Beautiful Bastard,Christina Lauren ,Romance,4.25,73267,4779,24,2013-10-29,2013
Release Me ,Stark Trilogy,J. Kenner ,Romance,4.11,79825,3391,18,2013-01-01,2013
Perfect Timing ,Kendrick/Coulter/Harrigan,Catherine Anderson ,Romance,4.11,2374,413,7,2013-01-01,2013
Blue-Eyed Devil ,Travises,Lisa Kleypas ,Romance,4.19,37614,2215,69,2008-03-25,2008
The Velvet Promise ,Velvet Montgomery Annuals Tetralogy,Jude Deveraux,Romance,3.98,15048,581,12,1981-01-01,1981
The Champion,-,Carla Capshaw ,Romance,4.23,543,52,8,2011-01-01,2011
Making Faces,-,Amy Harmon ,Romance,4.3,74450,9495,43,2013-12-10,2013
The Spymaster's Lady ,Spymasters,Joanna Bourne ,Romance,4.0,8020,1028,14,2008-02-01,2008
The Fiery Cross ,Outlander,Diana Gabaldon ,Romance,4.25,208083,8707,11,2001-06-11,2001
Firelight ,Firelight,Sophie Jordan ,Romance,3.85,68062,4845,60,2010-07-09,2010
Losing Hope ,Hopeless,Colleen Hoover ,Romance,4.17,205945,13266,24,2013-08-07,2013
Eternal Eden ,Eden Trilogy,Nicole  Williams ,Romance,3.78,12724,765,10,2011-01-03,2011
The DUFF: Designated Ugly Fat Friend ,Hamilton High,Kody Keplinger ,Romance,3.8,192946,12870,196,2010-07-09,2010
Caught,-,Christina J. Michaels ,Romance,4.1,213,29,6,2017-01-11,2017
Lola and the Boy Next Door ,Anna and the French Kiss,Stephanie Perkins ,Romance,3.91,163655,15455,13,2011-09-29,2011
Dreams Come True,-,Bridgitte Lesley ,Romance,4.22,275,19,53,2014-04-04,2014
Warrior's Woman ,Ly-San-Ter,Johanna Lindsey,Romance,4.01,9621,487,12,1990-01-01,1990
The Gift ,Crown's Spies,Julie Garwood,Romance,4.17,19967,716,19,1991-01-01,1991
The Grunt 1 ,The Lonely Hearts,Latrivia S. Nelson,Romance,4.12,2789,167,36,2011-07-25,2011
One Plus One,-,Jojo Moyes ,Romance,3.96,172417,13504,7,2014-02-26,2014
Unearthly ,Unearthly,Cynthia Hand ,Romance,4.01,126869,7951,37,2011-04-01,2011
Heartless,-,Marissa Meyer ,Romance,4.09,189885,31213,9,2016-08-11,2016
Just the Sexiest Man Alive,-,Julie James ,Romance,3.92,44738,2303,204,2008-07-10,2008
Sweet Release ,Blakewell/Kenleigh Family Trilogy,Pamela Clare ,Romance,3.88,3497,335,11,2003-01-02,2003
Northanger Abbey,-,Jane Austen,Romance,3.85,392474,20443,64,1817-12-20,1817
Kiss of Midnight ,"Midnight Breed, ",Lara Adrian ,Romance,3.92,65015,3083,20,2007-01-05,2007
The Scribbler Guardian ,Arks Of Octava,Lucian Bane ,Romance,4.26,298,108,6,2015-12-02,2015
Demon from the Dark ,Immortals After Dark,Kresley Cole ,Romance,4.43,47222,1777,25,2010-08-24,2010
Sophie & Carter,-,Chelsea Fine ,Romance,3.82,13694,773,33,2011-01-13,2011
Beyond Nostalgia,-,Tom Winton ,Romance,3.57,463,72,17,2011-09-02,2011
Something About You ,FBI/US Attorney,Julie James ,Romance,3.94,61702,2824,198,2010-02-03,2010
Can't Help Falling in Love ,"San Francisco Sullivans, #3; The Sullivans",Bella Andre ,Romance,4.18,15563,659,9,2011-01-12,2011
Last Sacrifice ,Vampire Academy,Richelle Mead ,Romance,4.37,285110,12525,12,2010-07-12,2010
Angelfall ,Penryn & the End of Days,Susan Ee ,Romance,4.11,190230,17404,21,2011-05-21,2011
Virgin River ,Virgin River,Robyn Carr ,Romance,4.02,70647,5555,65,2007-03-27,2007
Splintered Courage,-,J.E. Sawyer ,Romance,3.89,82,29,6,2018-01-06,2018
Fury ,New Species,Laurann Dohner,Romance,4.11,32056,1987,32,2011-07-27,2011
Breathe ,Colorado Mountain,Kristen Ashley ,Romance,4.33,37439,2437,14,2012-01-01,2012
The Summer I Turned Pretty ,Summer,Jenny Han ,Romance,3.77,727085,61410,191,2009-05-05,2009
Nauti Boy ,Nauti,Lora Leigh,Romance,4.04,10795,434,20,2007-01-03,2007
To All the Boys I've Loved Before ,To All the Boys I've Loved Before,Jenny Han ,Romance,4.05,867952,48763,16,2014-04-15,2014
The Choice,-,Nicholas Sparks ,Romance,4.01,181301,8664,9,2007-09-30,2007
Stardust,-,Neil Gaiman ,Romance,4.1,445271,25132,66,1999-01-02,1999
Suddenly You,-,Lisa Kleypas ,Romance,3.94,29058,2141,38,2000-12-17,2000
Surrender ,"MacKinnon’s Rangers, ",Pamela Clare ,Romance,4.05,6589,690,20,2006-02-28,2006
Making Chase ,Chase Brothers,Lauren Dane,Romance,4.11,8002,407,10,2007-06-06,2007
Mine to Possess ,Psy-Changeling,Nalini Singh ,Romance,4.08,31265,1741,8,2008-05-02,2008
Anna Karenina,-,Leo Tolstoy,Romance,4.09,832921,34276,14,1878-01-01,1878
Along for the Ride,-,Sarah Dessen ,Romance,4.04,206154,8642,190,2009-06-16,2009
Safe Haven,-,Nicholas Sparks ,Romance,4.22,378902,14926,82,2010-01-01,2010
The Wreck,-,Marie Force ,Romance,4.21,5418,410,12,2011-06-03,2011
The Bride ,Lairds' Fiancées,Julie Garwood,Romance,4.23,65939,3252,189,1989-01-07,1989
Down to You ,The Bad Boys,Michelle Leighton ,Romance,4.03,66322,3356,24,2013-11-07,2013
Wings ,Wings,Aprilynne Pike,Romance,3.76,80678,5308,14,2009-05-05,2009
Gaudy Night ,Lord Peter Wimsey,Dorothy L. Sayers,Romance,4.2,29318,2339,8,1935-01-01,1935
The Great Gatsby,-,F. Scott Fitzgerald,Romance,3.93,5107657,101193,41,1925-10-04,1925
After Forever Ends,-,Melodie Ramone ,Romance,4.05,1541,241,52,2012-01-10,2012
Call Me Irresistible ,"Wynette, Texas",Susan Elizabeth Phillips ,Romance,4.1,24095,1756,185,2010-12-31,2010
The Duchess Deal ,Girl Meets Duke,Tessa Dare ,Romance,4.0,57619,7954,7,2017-08-22,2017
Hostage to Pleasure ,Psy-Changeling,Nalini Singh ,Romance,4.19,31778,1579,18,2008-02-09,2008
The Witness,-,Nora Roberts ,Romance,4.24,82149,5786,28,2012-04-17,2012
Prodigy ,Legend,Marie Lu ,Romance,4.23,259220,19167,9,2013-01-29,2013
The Flame and the Flower ,Birmingham,Kathleen E. Woodiwiss,Romance,4.04,19049,1142,34,1972-01-01,1972
Lover Reborn ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.33,82455,4970,20,2012-03-27,2012
All My Life ,First Things,Rucy Ban ,Romance,3.52,1766,207,9,2013-02-05,2013
Rebecca,-,Daphne du Maurier,Romance,4.24,615536,38818,61,1938-01-08,1938
Avoiding Commitment ,Avoiding,K.A. Linde ,Romance,3.83,32040,2546,20,2012-07-29,2012
Sempre ,Sempre,J.M. Darhower ,Romance,4.14,27979,2849,33,2014-02-25,2014
Dragonfly in Amber ,Outlander,Diana Gabaldon ,Romance,4.34,350575,17409,9,1992-01-07,1992
